Epoch,Originale_Train_Loss,Nostra_Train_Loss,Originale_Test_Loss,Nostra_Test_Loss,Originale_Test_Acc,Nostra_Test_Acc,Originale_Test_F1,Nostra_Test_F1
0,2.0605,1.264,1.6759,0.4162,35.0,86.69,25.33,82.74
1,0.9256,0.4052,0.4615,0.3157,84.2,88.1,80.71,84.77
2,0.9859,0.3487,0.7663,0.294,72.7,88.42,69.58,85.47
3,0.5898,0.3092,0.3671,0.2642,87.81,89.78,84.56,86.33
4,0.6224,0.2849,0.8429,0.2558,65.84,89.98,64.31,86.61
5,0.85,0.2749,0.8391,0.2546,65.66,90.03,64.39,86.58
6,0.791,0.2657,0.821,0.282,65.25,89.5,63.53,86.37
7,0.5811,0.2631,0.8128,0.2514,64.45,89.82,60.14,86.52
8,0.3715,0.2605,0.3396,0.2588,88.1,89.96,84.74,86.58
9,0.5304,0.2589,0.7962,0.2556,65.94,89.96,64.1,87.07
10,0.3518,0.2577,0.3032,0.2633,89.25,89.99,85.9,86.73
11,0.4984,0.2582,0.8011,0.2581,64.71,89.98,59.66,86.74
12,0.7818,0.2551,0.7968,0.257,65.68,90.18,64.28,87.16
13,0.7634,0.2528,0.7996,0.2493,64.82,90.42,61.52,87.05
14,0.5376,0.2547,0.505,0.2509,80.05,90.2,77.45,87.31
15,0.5134,0.2517,0.5039,0.251,78.46,90.38,76.19,87.02
16,0.4832,0.2544,0.5001,0.2622,79.83,89.77,77.44,86.85
17,0.4735,0.3255,0.4991,0.2577,79.9,89.96,77.49,86.45
18,0.4612,0.2659,0.5055,0.2808,79.94,89.71,77.55,86.29
19,0.4663,0.2609,0.5219,0.2515,78.26,90.16,76.06,86.68
20,0.4712,0.2548,0.5129,0.2514,78.37,90.21,76.17,86.77
21,0.5003,0.2539,0.6048,0.2575,76.89,90.07,75.24,86.76
22,1.2285,0.2482,1.3878,0.2503,45.83,90.1,37.3,86.93
23,1.2659,0.2463,1.4433,0.2538,42.69,90.2,37.2,86.86
24,1.2023,0.2427,0.8559,0.2559,67.36,90.14,64.75,86.79
25,0.869,0.2478,0.8983,0.2586,63.4,90.06,59.99,86.75
26,0.8531,0.2407,0.8504,0.2576,65.88,89.95,63.03,87.09
27,0.7459,0.2401,0.4551,0.2566,82.34,90.27,79.26,86.88
28,0.5712,0.2414,0.707,0.2666,72.4,90.02,70.42,86.7
29,0.3074,0.2394,0.2803,0.308,89.52,89.37,86.07,86.21
30,0.6999,0.2387,0.7556,0.2551,70.23,90.28,67.95,87.24
31,0.6232,0.2477,0.2562,0.2604,90.44,90.19,87.0,86.95
32,0.2827,0.2448,0.2493,0.263,90.46,90.25,87.17,86.92
33,0.28,0.2473,0.301,0.2612,88.66,90.2,85.42,86.82
34,0.4029,0.2429,0.7914,0.2684,68.73,90.34,66.54,87.04
35,0.3043,0.2402,0.2504,0.2931,90.44,89.82,87.14,87.28
36,0.2786,0.2404,0.2505,0.3407,90.5,88.54,87.17,86.91
37,0.2613,0.2382,0.2489,0.2627,90.54,90.06,87.25,86.7
38,0.267,0.2377,0.2519,0.2781,90.55,90.07,87.27,86.88
39,0.6751,0.2354,0.8572,0.2644,65.23,90.23,62.4,87.2
40,0.7205,0.2344,0.831,0.2568,66.45,90.14,64.02,87.14
41,0.6364,0.2378,0.8092,0.254,67.72,90.28,65.34,87.06
42,0.6538,0.2349,0.7295,0.2609,71.57,89.94,69.4,87.58
43,0.625,0.232,0.8302,0.2591,66.66,90.22,64.24,87.39
44,0.6249,0.2309,0.8226,0.2582,66.81,90.37,64.38,87.55
45,0.6226,0.2303,0.8187,0.2613,67.12,89.82,64.83,87.68
46,0.5993,0.2282,0.6562,0.2592,74.73,89.25,71.68,87.81
47,0.6392,0.2336,0.7991,0.2546,68.42,90.2,66.21,87.25
48,0.6187,0.2297,0.8301,0.264,66.86,89.52,64.73,87.5
49,0.6228,0.2342,0.8484,0.268,65.92,89.4,63.6,87.48
50,0.6397,0.2282,0.8187,0.2701,68.36,90.0,66.37,87.54
51,0.6089,0.241,0.8423,0.2646,66.55,89.31,64.6,87.39
52,0.5998,0.2388,0.8227,0.2725,68.12,89.77,66.22,87.29
53,0.5839,0.2324,0.7468,0.2646,71.03,89.75,69.67,87.58
54,0.5539,0.2417,0.7736,0.2696,70.08,89.23,68.62,87.4
55,0.5616,0.2759,0.7846,0.2618,69.79,89.6,68.6,87.15
